,Product_Names,Product_Prices,Product_Description,Product_Reviews,Product_History
20,"Apple iPhone 15 (Yellow, 128 GB)","₹58,999","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.6,"2,30,161 Ratings & 8,260 Reviews"
21,"Apple iPhone 16 Pro (Natural Titanium, 128 GB)","₹1,19,900","128 GB ROM16.0 cm (6.3 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.7,531 Ratings & 33 Reviews
22,"Apple iPhone 16 Plus (White, 128 GB)","₹89,900","128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.7,413 Ratings & 36 Reviews
23,"Apple iPhone 16 Plus (Black, 128 GB)","₹89,900","128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.7,413 Ratings & 36 Reviews
24,"Apple iPhone 12 (Blue, 128 GB)","₹54,900","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic ShieldIndustry-leading IP68 Water ResistanceAll Screen OLED Display12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR Recording1 year warranty for phone and 1 year warranty for in Box Accessories.",4.6,"2,11,825 Ratings & 13,928 Reviews"
25,"Apple iPhone 15 (Blue, 512 GB)","₹99,900","512 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.6,"2,30,161 Ratings & 8,260 Reviews"
26,"Apple iPhone 16 Pro Max (Desert Titanium, 256 GB)","₹1,44,900","256 GB ROM17.53 cm (6.9 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.6,311 Ratings & 34 Reviews
27,"Apple iPhone 16 Pro Max (Natural Titanium, 512 GB)","₹1,64,900","512 GB ROM17.53 cm (6.9 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.6,311 Ratings & 34 Reviews
28,"Apple iPhone 16 Pro Max (Black Titanium, 256 GB)","₹1,44,900","256 GB ROM17.53 cm (6.9 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.6,311 Ratings & 34 Reviews
29,"Apple iPhone 16 Pro Max (White Titanium, 256 GB)","₹1,44,900","256 GB ROM17.53 cm (6.9 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.6,311 Ratings & 34 Reviews
